agency_cd	site_no	datetime	75375_00065_30800	75375_00065_30800_cd	75376_00060_00003	75376_00060_00003_cd
USGS	06893000	2019-01-01	16.98	A	85100	A
USGS	06893000	2019-01-02	15.69	A	76900	A
USGS	06893000	2019-01-03	15.46	A	74700	A
USGS	06893000	2019-01-04	14.73	A	69800	A
USGS	06893000	2019-01-05	13.93	A	65300	A
USGS	06893000	2019-01-06	13.86	A	66000	A
USGS	06893000	2019-01-07	14.66	A	71600	A
USGS	06893000	2019-01-08	15.29	A	76500	A
USGS	06893000	2019-01-09	15.82	A	79600	A
USGS	06893000	2019-01-10	15.84	A	78900	A
USGS	06893000	2019-01-11	15.19	A	74700	A
USGS	06893000	2019-01-12	14.76	A	72500	A
USGS	06893000	2019-01-13	14.66	A	71400	A
USGS	06893000	2019-01-14	14.35	A	69800	A
USGS	06893000	2019-01-15	14.10	A	68100	A
USGS	06893000	2019-01-16	13.95	A	67200	A
USGS	06893000	2019-01-17	13.86	A	66700	A
USGS	06893000	2019-01-18	13.86	A	66600	A
USGS	06893000	2019-01-19	14.02	A	67500	A
USGS	06893000	2019-01-20	13.70	A	65000	A
USGS	06893000	2019-01-21	13.08	A	61300	A
USGS	06893000	2019-01-22	12.46	A	58200	A
USGS	06893000	2019-01-23	12.40	A	57100	A
USGS	06893000	2019-01-24	12.00	A	55500	A:e
USGS	06893000	2019-01-25	11.77	A	54100	A:e
USGS	06893000	2019-01-26	12.13	A	56400	A
USGS	06893000	2019-01-27	12.50	A	58400	A
USGS	06893000	2019-01-28	12.68	A	59000	A
USGS	06893000	2019-01-29	12.40	A	57600	A
USGS	06893000	2019-01-30	12.22	A	56900	A:e
USGS	06893000	2019-01-31	11.90	A	53700	A:e
USGS	06893000	2019-02-01	11.19	A	50500	A
USGS	06893000	2019-02-02	11.01	A	49700	A
USGS	06893000	2019-02-03	11.41	A	52200	A
USGS	06893000	2019-02-04	11.70	A	58200	A
USGS	06893000	2019-02-05	16.07	A	81200	A
USGS	06893000	2019-02-06	15.46	A	76300	A
USGS	06893000	2019-02-07	13.52	A	64000	A
USGS	06893000	2019-02-08	11.67	A	54000	A:e
USGS	06893000	2019-02-09	10.36	A	48300	A
USGS	06893000	2019-02-10	9.88	A	47300	A
USGS	06893000	2019-02-11	10.15	A	48800	A
USGS	06893000	2019-02-12	10.62	A	50900	A
USGS	06893000	2019-02-13	10.63	A	50800	A
USGS	06893000	2019-02-14	10.60	A	51300	A
USGS	06893000	2019-02-15	10.78	A	51300	A
USGS	06893000	2019-02-16	10.20	A	49400	A
USGS	06893000	2019-02-17	10.11	A	48500	A
USGS	06893000	2019-02-18	10.08	A	48200	A
USGS	06893000	2019-02-19	10.04	A	47900	A
USGS	06893000	2019-02-20	9.79	A	46800	A
USGS	06893000	2019-02-21	9.83	A	47100	A
USGS	06893000	2019-02-22	9.82	A	47000	A
USGS	06893000	2019-02-23	10.02	A	49900	A
USGS	06893000	2019-02-24	13.08	A	67100	A
USGS	06893000	2019-02-25	14.27	A	73900	A
USGS	06893000	2019-02-26	13.42	A	65900	A
USGS	06893000	2019-02-27	11.65	A	56600	A
USGS	06893000	2019-02-28	10.79	A	52200	A
USGS	06893000	2019-03-01	10.35	A	49900	A
USGS	06893000	2019-03-02	10.14	A	49100	A
USGS	06893000	2019-03-03	10.09	A	48800	A:e
USGS	06893000	2019-03-04	10.27	A	48000	A:e
USGS	06893000	2019-03-05	10.31	A	47800	A:e
USGS	06893000	2019-03-06	9.69	A	47000	A
USGS	06893000	2019-03-07	9.79	A	47300	A
USGS	06893000	2019-03-08	9.66	A	46800	A
USGS	06893000	2019-03-09	9.90	A	50900	A
USGS	06893000	2019-03-10	16.20	A	92500	A
USGS	06893000	2019-03-11	17.92	A	105000	A
USGS	06893000	2019-03-12	17.38	A	103000	A
USGS	06893000	2019-03-13	19.23	A	130000	A
USGS	06893000	2019-03-14	25.68	A	187000	A
USGS	06893000	2019-03-15	28.16	A	215000	A
USGS	06893000	2019-03-16	28.72	A	222000	A
USGS	06893000	2019-03-17	29.06	A	227000	A
USGS	06893000	2019-03-18	29.49	A	233000	A
USGS	06893000	2019-03-19	29.65	A	235000	A
USGS	06893000	2019-03-20	29.56	A	238000	A
USGS	06893000	2019-03-21	30.04	A	246000	A
USGS	06893000	2019-03-22	30.72	A	257000	A
USGS	06893000	2019-03-23	33.13	A	282000	A
USGS	06893000	2019-03-24	33.58	A	288000	A
USGS	06893000	2019-03-25	33.72	A	283000	A
USGS	06893000	2019-03-26	32.68	A	270000	A
USGS	06893000	2019-03-27	31.46	A	253000	A
USGS	06893000	2019-03-28	30.24	A	239000	A
USGS	06893000	2019-03-29	29.27	A	224000	A
USGS	06893000	2019-03-30	29.21	A	223000	A
