year,stage,discharge
1933,3.81,119.20
1934,2.86,41.90
1935,2.35,25.90
1936,2.74,37.40
1937,3.14,56.60
1938,3.08,51.50
1939,2.41,27.40
1940,3.51,77.60
1941,1.87,15.90
1942,3.25,61.70
1943,2.79,39.60
1944,3.19,58.30
1945,3.72,107.90
1946,2.52,30.60
1947,2.44,23.10
1948,3.02,43.90
1949,2.22,19.90
1950,1.95,15.90
1951,3.19,55.80
1952,4.04,150.10
1953,3.11,56.60
1954,1.91,18.30
1955,3.69,107.30
1956,2.55,28.60
1957,1.90,17.30
1958,2.75,34.80
1959,2.14,21.40
1960,2.54,28.30
1961,2.49,27.40
1962,2.78,36.20
1963,2.25,23.20
1964,2.70,32.80
1965,2.35,24.80
1966,2.72,34.00
1967,2.71,33.40
1968,2.86,39.90
1969,2.02,19.40
1970,2.02,19.40
1971,3.49,86.90
1972,5.60,351.10
1973,3.07,53.20
1974,2.65,31.40
1975,4.08,152.00
1976,3.08,54.10
1977,2.14,21.30
1978,3.63,103.90
1979,3.91,132.50
1980,2.65,31.40
1981,2.50,28.00
1982,2.18,22.00
1983,3.33,78.70
1984,2.65,42.20
1985,2.60,40.50
1986,1.69,19.30
1987,2.42,34.80
1988,2.42,34.80
1989,4.01,143.50
